Relations
आई
बाबा
नवरा
बायको
बहिण
भाऊ
आजोबा
आबा
नाना
अण्णा
आजी
नाणी
पणजोबा
पणजी
मामा
मामी
मावशी
मावशोबा
काका
काकू
आत्या
आतोबा
दीर
जाऊ
नणंद
मेव्हणा
मेव्हणी
ताई
वहिनी
भावजय
दाजी
सासरे
सासू
पुतण्या
पुतणी
भाचा
भाची
व्याही
विहीण
जावई
सून
नातजावई
नातसून
सवत
मित्र
साडू
नातू
नात
