Suffixes
च्या
न्या
र् या
ऱ्या
ख्या
वर
साठी
पासून
तून
कडून
मुळे
प्रमाणे
वरून
वर
चे
चे
तील
पयंत
चा
कडेही
नी
नीही
मधले
तही
तपण
तसुद्धा
कडे
पाशी
पयंत
पूववक
तच
हून
प्रमाणे
लेल्या
ही
ले
मध्ये
मधला
पणे
